Time,Phase Time (s),Density Lane 1,Vol/h Lane 1,Density Lane 2,Vol/h Lane 2,Density Lane 3,Vol/h Lane 3,Density Lane 4,Vol/h Lane 4,Average DS (%),,Total density (veh/m/lane),Total flow (veh/hr)
03:42,84,0.009186352,128.5714286,0.011811024,128.5714286,0.00656168,85.71428571,0,0,5,,0.027559055,342.8571429
03:43,84,0,0,0,0,0.00656168,85.71428571,0,0,5,,0.00656168,85.71428571
03:45,84,0,0,0,0,0,0,0,0,4,,0,0
03:46,84,0,0,0,0,0,0,0,0,1,,0,0
03:48,84,0,0,0,0,0,0,0,0,0,,0,0
03:49,84,0,0,0.011811024,128.5714286,0,0,0,0,4,,0.011811024,128.5714286
03:51,84,0,0,0.015748031,171.4285714,0.01312336,171.4285714,0,0,8,,0.028871391,342.8571429
03:52,84,0.007874016,85.71428571,0.009186352,85.71428571,0,0,0,0,9,,0.017060367,171.4285714
03:53,84,0,0,0.011811024,128.5714286,0.015748031,214.2857143,0.00656168,85.71428571,10,,0.034120735,428.5714286
03:55,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,10,,0.024934383,300
03:56,84,0,0,0.007874016,85.71428571,0.005249344,85.71428571,0,0,8,,0.01312336,171.4285714
03:58,84,0.00656168,85.71428571,0.010498688,128.5714286,0.009186352,128.5714286,0.00656168,85.71428571,8,,0.032808399,428.5714286
03:59,84,0.011811024,128.5714286,0.020997375,214.2857143,0.009186352,128.5714286,0,0,11,,0.041994751,471.4285714
04:01,84,0.017060367,214.2857143,0.018372703,214.2857143,0,0,0,0,13,,0.035433071,428.5714286
04:02,84,0.009186352,128.5714286,0.015748031,171.4285714,0.00656168,85.71428571,0,0,14,,0.031496063,385.7142857
04:03,84,0,0,0.011811024,128.5714286,0.009186352,128.5714286,0,0,11,,0.020997375,257.1428571
04:05,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,8,,0.014435696,171.4285714
04:06,84,0,0,0,0,0,0,0,0,4,,0,0
04:08,84,0,0,0.007874016,85.71428571,0,0,0,0,4,,0.007874016,85.71428571
04:09,84,0,0,0,0,0,0,0,0,2,,0,0
04:10,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,4,,0.014435696,171.4285714
04:12,84,0.010498688,128.5714286,0.011811024,128.5714286,0,0,0,0,6,,0.022309711,257.1428571
04:13,84,0.010498688,128.5714286,0.011811024,128.5714286,0,0,0,0,8,,0.022309711,257.1428571
04:15,84,0.00656168,85.71428571,0.019685039,214.2857143,0.01312336,171.4285714,0,0,12,,0.039370079,471.4285714
04:16,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,11,,0.024934383,300
04:18,84,0,0,0,0,0,0,0,0,6,,0,0
04:19,84,0.00656168,85.71428571,0.011811024,128.5714286,0.010498688,128.5714286,0,0,6,,0.028871391,342.8571429
04:20,84,0.00656168,85.71428571,0.007874016,85.71428571,0.005249344,85.71428571,0,0,6,,0.019685039,257.1428571
04:22,84,0,0,0.014435696,171.4285714,0.009186352,128.5714286,0,0,9,,0.023622047,300
04:23,84,0.010498688,128.5714286,0.015748031,171.4285714,0.009186352,128.5714286,0,0,10,,0.035433071,428.5714286
04:25,84,0,0,0,0,0,0,0,0,6,,0,0
04:26,84,0.010498688,128.5714286,0.015748031,171.4285714,0.00656168,85.71428571,0,0,8,,0.032808399,385.7142857
04:28,84,0,0,0.007874016,85.71428571,0,0,0,0,7,,0.007874016,85.71428571
04:29,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,9,,0.024934383,300
04:30,84,0.00656168,85.71428571,0.011811024,128.5714286,0.00656168,85.71428571,0,0,8,,0.024934383,300
04:32,84,0.007874016,85.71428571,0.01312336,128.5714286,0,0,0,0,9,,0.020997375,214.2857143
04:33,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,8,,0.014435696,171.4285714
04:35,84,0.00656168,85.71428571,0.010498688,128.5714286,0.005249344,85.71428571,0,0,8,,0.022309711,300
04:36,84,0.01312336,171.4285714,0.015748031,171.4285714,0.00656168,85.71428571,0,0,9,,0.035433071,428.5714286
04:38,93,0.009186352,116.1290323,0.018372703,193.5483871,0.009186352,116.1290323,0,0,12,,0.036745407,425.8064516
04:39,93,0,0,0.009186352,77.41935484,0.011811024,116.1290323,0,0,11,,0.020997375,193.5483871
04:41,114,0,0,0.01312336,126.3157895,0.010498688,126.3157895,0,0,11,,0.023622047,252.6315789
04:43,39,0,0,0,0,0.019685039,276.9230769,0.014435696,184.6153846,12,,0.034120735,461.5384615
04:44,96,0.009186352,75,0.010498688,75,0.007874016,75,0,0,11,,0.027559055,225
04:46,83,0.010498688,130.1204819,0.019685039,216.8674699,0.009186352,130.1204819,0,0,13,,0.039370079,477.1084337
04:47,81,0.010498688,133.3333333,0.015748031,177.7777778,0.009186352,133.3333333,0,0,12,,0.035433071,444.4444444
04:49,76,0.00656168,94.73684211,0.015748031,189.4736842,0.005249344,94.73684211,0,0,13,,0.027559055,378.9473684
04:50,90,0.017060367,200,0.019685039,200,0.00656168,80,0,0,13,,0.043307087,480
04:51,77,0,0,0,0,0,0,0,0,8,,0,0
04:53,84,0.010498688,128.5714286,0.009186352,85.71428571,0,0,0,0,7,,0.019685039,214.2857143
04:54,84,0.011811024,128.5714286,0.019685039,214.2857143,0.009186352,128.5714286,0,0,9,,0.040682415,471.4285714
04:56,84,0.041994751,128.5714286,0.015748031,171.4285714,0.009186352,128.5714286,0,0,21,,0.066929134,428.5714286
04:57,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,17,,0.014435696,171.4285714
04:59,84,0.007874016,85.71428571,0.011811024,128.5714286,0,0,0,0,13,,0.019685039,214.2857143
05:00,84,0,0,0,0,0,0,0,0,4,,0,0
05:01,84,0.00656168,85.71428571,0.007874016,85.71428571,0,0,0,0,5,,0.014435696,171.4285714
05:03,84,0,0,0.011811024,128.5714286,0.014435696,171.4285714,0.009186352,85.71428571,7,,0.035433071,385.7142857
05:04,84,0.00656168,85.71428571,0.020997375,214.2857143,0.018372703,214.2857143,0,0,12,,0.045931759,514.2857143
05:06,83,0.007874016,130.1204819,0.018372703,216.8674699,0.011811024,173.4939759,0.005249344,86.74698795,14,,0.043307087,607.2289157
05:07,74,0.007874016,97.2972973,0.01312336,145.9459459,0.007874016,97.2972973,0,0,13,,0.028871391,340.5405405
05:08,84,0,0,0.015748031,171.4285714,0.01312336,171.4285714,0,0,12,,0.028871391,342.8571429
05:10,84,0.00656168,85.71428571,0.015748031,171.4285714,0.009186352,128.5714286,0,0,12,,0.031496063,385.7142857
05:11,84,0,0,0.011811024,128.5714286,0.005249344,85.71428571,0,0,11,,0.017060367,214.2857143
05:13,84,0,0,0,0,0.00656168,85.71428571,0.00656168,85.71428571,8,,0.01312336,171.4285714
05:14,84,0,0,0.007874016,85.71428571,0.00656168,85.71428571,0,0,6,,0.014435696,171.4285714
05:16,84,0,0,0.019685039,214.2857143,0.018372703,257.1428571,0,0,10,,0.038057743,471.4285714
05:17,84,0,0,0.011811024,128.5714286,0.009186352,128.5714286,0,0,10,,0.020997375,257.1428571
05:18,84,0.007874016,85.71428571,0.01312336,128.5714286,0.011811024,128.5714286,0,0,11,,0.032808399,342.8571429
05:20,84,0.022309711,257.1428571,0.028871391,300,0.00656168,85.71428571,0,0,15,,0.057742782,642.8571429
05:21,84,0.019685039,214.2857143,0.020997375,214.2857143,0.00656168,85.71428571,0,0,17,,0.047244094,514.2857143
05:23,84,0,0,0.007874016,85.71428571,0.010498688,128.5714286,0,0,14,,0.018372703,214.2857143
05:24,87,0.011811024,165.5172414,0.018372703,206.8965517,0.003937008,82.75862069,0,0,12,,0.034120735,455.1724138
05:26,71,0.020997375,202.8169014,0.031496063,304.2253521,0.011811024,152.1126761,0,0,17,,0.064304462,659.1549296
05:27,84,0,0,0.01312336,128.5714286,0.009186352,128.5714286,0,0,16,,0.022309711,257.1428571
05:28,84,0.018372703,214.2857143,0.028871391,300,0.00656168,85.71428571,0,0,18,,0.053805774,600
05:30,84,0.01312336,171.4285714,0.018372703,214.2857143,0,0,0,0,16,,0.031496063,385.7142857
05:31,64,0.010498688,112.5,0.019685039,168.75,0.010498688,112.5,0,0,16,,0.040682415,393.75
05:33,66,0.007874016,109.0909091,0.031496063,327.2727273,0.028871391,381.8181818,0.007874016,109.0909091,19,,0.076115486,927.2727273
05:34,65,0,0,0.009186352,110.7692308,0.007874016,110.7692308,0,0,14,,0.017060367,221.5384615
05:35,65,0.007874016,110.7692308,0.034120735,387.6923077,0.027559055,387.6923077,0,0,19,,0.069553806,886.1538462
05:37,65,0.007874016,110.7692308,0.01312336,166.1538462,0.007874016,110.7692308,0.009186352,110.7692308,15,,0.038057743,498.4615385
05:39,75,0.035433071,384,0.026246719,288,0.005249344,96,0,0,21,,0.066929134,768
05:40,55,0.015748031,196.3636364,0.030183727,327.2727273,0.01312336,196.3636364,0.010498688,130.9090909,21,,0.069553806,850.9090909
05:41,85,0.011811024,127.0588235,0.017060367,169.4117647,0.00656168,84.70588235,0,0,19,,0.035433071,381.1764706
05:43,82,0.00656168,87.80487805,0.020997375,219.5121951,0.010498688,131.7073171,0,0,17,,0.038057743,439.0243902
05:44,84,0.007874016,85.71428571,0.032808399,342.8571429,0.017060367,214.2857143,0,0,19,,0.057742782,642.8571429
05:46,89,0.010498688,121.3483146,0.026246719,283.1460674,0.01312336,202.247191,0,0,21,,0.049868766,606.741573
05:47,95,0.009186352,75.78947368,0.01312336,113.6842105,0.009186352,75.78947368,0,0,17,,0.031496063,265.2631579
05:49,95,0.011811024,113.6842105,0.027559055,265.2631579,0.010498688,113.6842105,0,0,17,,0.049868766,492.6315789
